book_id,isbn,title,author,publisher,total_pages,chapter_order,chapter_title,start_page,end_page
b001,9788934972464,사피엔스,유발 하라리,김영사,648,1,프롤로그,1,20
b001,9788934972464,사피엔스,유발 하라리,김영사,648,2,1부: 인지혁명,21,138
b001,9788934972464,사피엔스,유발 하라리,김영사,648,3,2부: 농업혁명,139,270
b001,9788934972464,사피엔스,유발 하라리,김영사,648,4,3부: 인류의 통합,271,444
b001,9788934972464,사피엔스,유발 하라리,김영사,648,5,4부: 과학혁명,445,630
b001,9788934972464,사피엔스,유발 하라리,김영사,648,6,에필로그: 마침내 신이 된 인간,631,648
b002,9788983711892,코스모스,칼 세이건,사이언스북스,719,1,코스모스의 바닷가에서,1,54
b002,9788983711892,코스모스,칼 세이건,사이언스북스,719,2,우주 생명의 씨앗,55,108
b002,9788983711892,코스모스,칼 세이건,사이언스북스,719,3,지상과 천상의 조화,109,162
b002,9788983711892,코스모스,칼 세이건,사이언스북스,719,4,천국과 지옥,163,212
b002,9788983711892,코스모스,칼 세이건,사이언스북스,719,5,붉은 행성을 위한 블루스,213,262
b002,9788983711892,코스모스,칼 세이건,사이언스북스,719,6,여행자의 이야기,263,316
b002,9788983711892,코스모스,칼 세이건,사이언스북스,719,7,밤하늘의 등뼈,317,368
b002,9788983711892,코스모스,칼 세이건,사이언스북스,719,8,시간과 공간을 가르는 여행,369,428
b002,9788983711892,코스모스,칼 세이건,사이언스북스,719,9,별들의 삶과 죽음,429,484
b002,9788983711892,코스모스,칼 세이건,사이언스북스,719,10,영원의 벼랑 끝,485,540
b002,9788983711892,코스모스,칼 세이건,사이언스북스,719,11,미래로 가는 편지,541,592
b002,9788983711892,코스모스,칼 세이건,사이언스북스,719,12,은하 대백과사전,593,656
b002,9788983711892,코스모스,칼 세이건,사이언스북스,719,13,누가 우리 지구를 대변하는가,657,719
b003,9788932474060,이기적 유전자,리처드 도킨스,을유문화사,544,1,왜 사람인가?,1,42
b003,9788932474060,이기적 유전자,리처드 도킨스,을유문화사,544,2,자기 복제자,43,84
b003,9788932474060,이기적 유전자,리처드 도킨스,을유문화사,544,3,불멸의 코일,85,126
b003,9788932474060,이기적 유전자,리처드 도킨스,을유문화사,544,4,유전자 기계,127,168
b003,9788932474060,이기적 유전자,리처드 도킨스,을유문화사,544,5,공격 - 안정성과 이기적 기계,169,210
b003,9788932474060,이기적 유전자,리처드 도킨스,을유문화사,544,6,유전자의 친족 관계,211,252
b003,9788932474060,이기적 유전자,리처드 도킨스,을유문화사,544,7,가족계획,253,294
b003,9788932474060,이기적 유전자,리처드 도킨스,을유문화사,544,8,세대 간의 갈등,295,336
b003,9788932474060,이기적 유전자,리처드 도킨스,을유문화사,544,9,암수의 전쟁,337,378
b003,9788932474060,이기적 유전자,리처드 도킨스,을유문화사,544,10,"나를 긁어다오, 나도 너를 긁어 줄게",379,420
b003,9788932474060,이기적 유전자,리처드 도킨스,을유문화사,544,11,밈 - 새로운 자기 복제자,421,462
b003,9788932474060,이기적 유전자,리처드 도킨스,을유문화사,544,12,착한 남자는 꼴찌로 들어온다,463,502
b003,9788932474060,이기적 유전자,리처드 도킨스,을유문화사,544,13,긴팔원숭이의 유전자,503,544
b004,9788970126050,총균쇠,재레드 다이아몬드,문학사상,720,1,프롤로그: 야리족의 의문,1,24
b004,9788970126050,총균쇠,재레드 다이아몬드,문학사상,720,2,1부: 에덴에서 카할라까지,25,142
b004,9788970126050,총균쇠,재레드 다이아몬드,문학사상,720,3,2부: 식량 생산의 기원,143,318
b004,9788970126050,총균쇠,재레드 다이아몬드,문학사상,720,4,3부: 총 균 쇠,319,506
b004,9788970126050,총균쇠,재레드 다이아몬드,문학사상,720,5,4부: 전세계적 관점,507,680
b004,9788970126050,총균쇠,재레드 다이아몬드,문학사상,720,6,에필로그: 인간 사회의 역사를 하나의 과학으로,681,720
